slide,species,tissue,pmid,title,abstract,keywords,involve_cancer,tech,spot_num,gene_num
GSE153424_GSM4644083,mouse,brain,35210624,Clonal relations in the mouse brain revealed by single-cell and spatial transcriptomics,"The mammalian brain contains many specialized cells that develop from a thin sheet of neuroepithelial progenitor cells. Single-cell transcriptomics revealed hundreds of molecularly diverse cell types in the nervous system, but the lineage relationships between mature cell types and progenitor cells are not well understood. Here we show in vivo barcoding of early progenitors to simultaneously profile cell phenotypes and clonal relations in the mouse brain using single-cell and spatial transcriptomics. By reconstructing thousands of clones, we discovered fate-restricted progenitor cells in the mouse hippocampal neuroepithelium and show that microglia are derived from few primitive myeloid precursors that massively expand to generate widely dispersed progeny. We combined spatial transcriptomics with clonal barcoding and disentangled migration patterns of clonally related cells in densely labeled tissue sections. Our approach enables high-throughput dense reconstruction of cell phenotypes and clonal relations at the single-cell and tissue level in individual animals and provides an integrated approach for understanding tissue architecture.",,False,Visium,3736,27999
GSE153424_GSM4644084,mouse,brain,35210624,Clonal relations in the mouse brain revealed by single-cell and spatial transcriptomics,"The mammalian brain contains many specialized cells that develop from a thin sheet of neuroepithelial progenitor cells. Single-cell transcriptomics revealed hundreds of molecularly diverse cell types in the nervous system, but the lineage relationships between mature cell types and progenitor cells are not well understood. Here we show in vivo barcoding of early progenitors to simultaneously profile cell phenotypes and clonal relations in the mouse brain using single-cell and spatial transcriptomics. By reconstructing thousands of clones, we discovered fate-restricted progenitor cells in the mouse hippocampal neuroepithelium and show that microglia are derived from few primitive myeloid precursors that massively expand to generate widely dispersed progeny. We combined spatial transcriptomics with clonal barcoding and disentangled migration patterns of clonally related cells in densely labeled tissue sections. Our approach enables high-throughput dense reconstruction of cell phenotypes and clonal relations at the single-cell and tissue level in individual animals and provides an integrated approach for understanding tissue architecture.",,False,Visium,3563,27999
GSE153424_GSM4644085,mouse,brain,35210624,Clonal relations in the mouse brain revealed by single-cell and spatial transcriptomics,"The mammalian brain contains many specialized cells that develop from a thin sheet of neuroepithelial progenitor cells. Single-cell transcriptomics revealed hundreds of molecularly diverse cell types in the nervous system, but the lineage relationships between mature cell types and progenitor cells are not well understood. Here we show in vivo barcoding of early progenitors to simultaneously profile cell phenotypes and clonal relations in the mouse brain using single-cell and spatial transcriptomics. By reconstructing thousands of clones, we discovered fate-restricted progenitor cells in the mouse hippocampal neuroepithelium and show that microglia are derived from few primitive myeloid precursors that massively expand to generate widely dispersed progeny. We combined spatial transcriptomics with clonal barcoding and disentangled migration patterns of clonally related cells in densely labeled tissue sections. Our approach enables high-throughput dense reconstruction of cell phenotypes and clonal relations at the single-cell and tissue level in individual animals and provides an integrated approach for understanding tissue architecture.",,False,Visium,3610,27999
GSE153424_GSM4644086,mouse,brain,35210624,Clonal relations in the mouse brain revealed by single-cell and spatial transcriptomics,"The mammalian brain contains many specialized cells that develop from a thin sheet of neuroepithelial progenitor cells. Single-cell transcriptomics revealed hundreds of molecularly diverse cell types in the nervous system, but the lineage relationships between mature cell types and progenitor cells are not well understood. Here we show in vivo barcoding of early progenitors to simultaneously profile cell phenotypes and clonal relations in the mouse brain using single-cell and spatial transcriptomics. By reconstructing thousands of clones, we discovered fate-restricted progenitor cells in the mouse hippocampal neuroepithelium and show that microglia are derived from few primitive myeloid precursors that massively expand to generate widely dispersed progeny. We combined spatial transcriptomics with clonal barcoding and disentangled migration patterns of clonally related cells in densely labeled tissue sections. Our approach enables high-throughput dense reconstruction of cell phenotypes and clonal relations at the single-cell and tissue level in individual animals and provides an integrated approach for understanding tissue architecture.",,False,Visium,3734,27999
GSE153859_GSM4656179,mouse,brain,36928528,The spatial landscape of gene expression isoforms in tissue sections,"In situ capturing technologies add tissue context to gene expression data, with the potential of providing a greater understanding of complex biological systems. However, splicing variants and full-length sequence heterogeneity cannot be characterized at spatial resolution with current transcriptome profiling methods. To that end, we introduce spatial isoform transcriptomics (SiT), an explorative method for characterizing spatial isoform variation and sequence heterogeneity using long-read sequencing. We show in mouse brain how SiT can be used to profile isoform expression and sequence heterogeneity in different areas of the tissue. SiT reveals regional isoform switching of Plp1 gene between different layers of the olfactory bulb, and the use of external single-cell data allows the nomination of cell types expressing each isoform. Furthermore, SiT identifies differential isoform usage for several major genes implicated in brain function (Snap25, Bin1, Gnas) that are independently validated by in situ sequencing. SiT also provides for the first time an in-depth A-to-I RNA editing map of the adult mouse brain. Data exploration can be performed through an online resource (https://www.isomics.eu), where isoform expression and RNA editing can be visualized in a spatial context.",,False,Visium,2500,31053
GSE153859_GSM4656180,mouse,brain,36928528,The spatial landscape of gene expression isoforms in tissue sections,"In situ capturing technologies add tissue context to gene expression data, with the potential of providing a greater understanding of complex biological systems. However, splicing variants and full-length sequence heterogeneity cannot be characterized at spatial resolution with current transcriptome profiling methods. To that end, we introduce spatial isoform transcriptomics (SiT), an explorative method for characterizing spatial isoform variation and sequence heterogeneity using long-read sequencing. We show in mouse brain how SiT can be used to profile isoform expression and sequence heterogeneity in different areas of the tissue. SiT reveals regional isoform switching of Plp1 gene between different layers of the olfactory bulb, and the use of external single-cell data allows the nomination of cell types expressing each isoform. Furthermore, SiT identifies differential isoform usage for several major genes implicated in brain function (Snap25, Bin1, Gnas) that are independently validated by in situ sequencing. SiT also provides for the first time an in-depth A-to-I RNA editing map of the adult mouse brain. Data exploration can be performed through an online resource (https://www.isomics.eu), where isoform expression and RNA editing can be visualized in a spatial context.",,False,Visium,2560,31053
GSE153859_GSM4656181,mouse,olfactory bulb,36928528,The spatial landscape of gene expression isoforms in tissue sections,"In situ capturing technologies add tissue context to gene expression data, with the potential of providing a greater understanding of complex biological systems. However, splicing variants and full-length sequence heterogeneity cannot be characterized at spatial resolution with current transcriptome profiling methods. To that end, we introduce spatial isoform transcriptomics (SiT), an explorative method for characterizing spatial isoform variation and sequence heterogeneity using long-read sequencing. We show in mouse brain how SiT can be used to profile isoform expression and sequence heterogeneity in different areas of the tissue. SiT reveals regional isoform switching of Plp1 gene between different layers of the olfactory bulb, and the use of external single-cell data allows the nomination of cell types expressing each isoform. Furthermore, SiT identifies differential isoform usage for several major genes implicated in brain function (Snap25, Bin1, Gnas) that are independently validated by in situ sequencing. SiT also provides for the first time an in-depth A-to-I RNA editing map of the adult mouse brain. Data exploration can be performed through an online resource (https://www.isomics.eu), where isoform expression and RNA editing can be visualized in a spatial context.",,False,Visium,918,31053
GSE158450_GSM4800808,mouse,brain,"33469025,35301264,35604081,36593406",Title 1: A spatially resolved brain region- and cell type-specific isoform atlas of the postnatal mouse brain. Title 2: Sequencing of individual barcoded cDNAs using Pacific Biosciences and Oxford Nanopore Technologies reveals platform-specific error patterns. Title 3: ScisorWiz: visualizing differential isoform expression in single-cell long-read data. Title 4: Accurate isoform discovery with IsoQuant using long reads.,"Abstract 1: Splicing varies across brain regions, but the single-cell resolution of regional variation is unclear. We present a single-cell investigation of differential isoform expression (DIE) between brain regions using single-cell long-read sequencing in mouse hippocampus and prefrontal cortex in 45 cell types at postnatal day 7 ( www.isoformAtlas.com ). Isoform tests for DIE show better performance than exon tests. We detect hundreds of DIE events traceable to cell types, often corresponding to functionally distinct protein isoforms. Mostly, one cell type is responsible for brain-region specific DIE. However, for fewer genes, multiple cell types influence DIE. Thus, regional identity can, although rarely, override cell-type specificity. Cell types indigenous to one anatomic structure display distinctive DIE, e.g. the choroid plexus epithelium manifests distinct transcription-start-site usage. Spatial transcriptomics and long-read sequencing yield a spatially resolved splicing map. Our methods quantify isoform expression with cell-type and spatial resolution and it contributes to further our understanding of how the brain integrates molecular and cellular complexity. Abstract 2: Long-read transcriptomics require understanding error sources inherent to technologies. Current approaches cannot compare methods for an individual RNA molecule. Here, we present a novel platform-comparison method that combines barcoding strategies and long-read sequencing to sequence cDNA copies representing an individual RNA molecule on both Pacific Biosciences (PacBio) and Oxford Nanopore Technologies (ONT). We compare these long-read pairs in terms of sequence content and isoform patterns. Although individual read pairs show high similarity, we find differences in (1) aligned length, (2) transcription start site (TSS), (3) polyadenylation site (poly(A)-site) assignment, and (4) exon-intron structures. Overall, 25% of read pairs disagree on either TSS, poly(A)-site, or splice site. Intron-chain disagreement typically arises from alignment errors of microexons and complicated splice sites. Our single-molecule technology comparison reveals that inconsistencies are often caused by sequencing error-induced inaccurate ONT alignments, especially to downstream GUNNGU donor motifs. However, annotation-disagreeing upstream shifts in NAGNAG acceptors in ONT are often confirmed by PacBio and are thus likely real. In both barcoded and nonbarcoded ONT reads, we find that intron number and proximity of GU/AGs better predict inconsistencies with the annotation than read quality alone. We summarize these findings in an annotation-based algorithm for spliced alignment correction that improves subsequent transcript construction with ONT reads. Abstract 3: Summary: RNA isoforms contribute to the diverse functionality of the proteins they encode within the cell. Visualizing how isoform expression differs across cell types and brain regions can inform our understanding of disease and gain or loss of functionality caused by alternative splicing with potential negative impacts. However, the extent to which this occurs in specific cell types and brain regions is largely unknown. This is the kind of information that ScisorWiz plots can provide in an informative and easily communicable manner. ScisorWiz affords its user the opportunity to visualize specific genes across any number of cell types, and provides various sorting options for the user to gain different ways to understand their data. ScisorWiz provides a clear picture of differential isoform expression through various clustering methods and highlights features such as alternative exons and single-nucleotide variants. Tools like ScisorWiz are key for interpreting single-cell isoform sequencing data. This tool applies to any single-cell long-read RNA sequencing data in any cell type, tissue or species.

Availability and implementation: Source code is available at http://github.com/ans4013/ScisorWiz. No new data were generated for this publication. Data used to generate figures was sourced from GEO accession token GSE158450 and available on GitHub as example data. Abstract 4: Annotating newly sequenced genomes and determining alternative isoforms from long-read RNA data are complex and incompletely solved problems. Here we present IsoQuant-a computational tool using intron graphs that accurately reconstructs transcripts both with and without reference genome annotation. For novel transcript discovery, IsoQuant reduces the false-positive rate fivefold and 2.5-fold for Oxford Nanopore reference-based or reference-free mode, respectively. IsoQuant also improves performance for Pacific Biosciences data. ",Keywords 1:  Keywords 2:  Keywords 3:  Keywords 4:,False,Visium,3024,31053
GSE158730_GSM7770348,mouse,olfactory epithelium,36993168,"Opposing, spatially-determined epigenetic forces impose restrictions on stochastic olfactory receptor choice","Olfactory receptor (OR) choice represents an example of genetically hardwired stochasticity, where every olfactory neuron expresses one out of ~2000 OR alleles in a probabilistic, yet stereotypic fashion. Here, we propose that topographic restrictions in OR expression are established in neuronal progenitors by two opposing forces: polygenic transcription and genomic silencing, both of which are influenced by dorsoventral gradients of transcription factors NFIA, B, and X. Polygenic transcription of OR genes may define spatially constrained OR repertoires, among which one OR allele is selected for singular expression later in development. Heterochromatin assembly and genomic compartmentalization of OR alleles also vary across the axes of the olfactory epithelium and may preferentially eliminate ectopically expressed ORs with more dorsal expression destinations from this """"""""""""""""""""""""""""""""privileged"""""""""""""""""""""""""""""""" repertoire. Our experiments identify early transcription as a potential """"""""""""""""""""""""""""""""epigenetic"""""""""""""""""""""""""""""""" contributor to future developmental patterning and reveal how two spatially responsive probabilistic processes may act in concert to establish deterministic, precise, and reproducible territories of stochastic gene expression.",,False,Visium,1387,32285
GSE158730_GSM7770349,mouse,olfactory epithelium,36993168,"Opposing, spatially-determined epigenetic forces impose restrictions on stochastic olfactory receptor choice","Olfactory receptor (OR) choice represents an example of genetically hardwired stochasticity, where every olfactory neuron expresses one out of ~2000 OR alleles in a probabilistic, yet stereotypic fashion. Here, we propose that topographic restrictions in OR expression are established in neuronal progenitors by two opposing forces: polygenic transcription and genomic silencing, both of which are influenced by dorsoventral gradients of transcription factors NFIA, B, and X. Polygenic transcription of OR genes may define spatially constrained OR repertoires, among which one OR allele is selected for singular expression later in development. Heterochromatin assembly and genomic compartmentalization of OR alleles also vary across the axes of the olfactory epithelium and may preferentially eliminate ectopically expressed ORs with more dorsal expression destinations from this """"""""""""""""""""""""""""""""privileged"""""""""""""""""""""""""""""""" repertoire. Our experiments identify early transcription as a potential """"""""""""""""""""""""""""""""epigenetic"""""""""""""""""""""""""""""""" contributor to future developmental patterning and reveal how two spatially responsive probabilistic processes may act in concert to establish deterministic, precise, and reproducible territories of stochastic gene expression.",,False,Visium,1535,32285
GSE158730_GSM7770350,mouse,olfactory epithelium,36993168,"Opposing, spatially-determined epigenetic forces impose restrictions on stochastic olfactory receptor choice","Olfactory receptor (OR) choice represents an example of genetically hardwired stochasticity, where every olfactory neuron expresses one out of ~2000 OR alleles in a probabilistic, yet stereotypic fashion. Here, we propose that topographic restrictions in OR expression are established in neuronal progenitors by two opposing forces: polygenic transcription and genomic silencing, both of which are influenced by dorsoventral gradients of transcription factors NFIA, B, and X. Polygenic transcription of OR genes may define spatially constrained OR repertoires, among which one OR allele is selected for singular expression later in development. Heterochromatin assembly and genomic compartmentalization of OR alleles also vary across the axes of the olfactory epithelium and may preferentially eliminate ectopically expressed ORs with more dorsal expression destinations from this """"""""""""""""""""""""""""""""privileged"""""""""""""""""""""""""""""""" repertoire. Our experiments identify early transcription as a potential """"""""""""""""""""""""""""""""epigenetic"""""""""""""""""""""""""""""""" contributor to future developmental patterning and reveal how two spatially responsive probabilistic processes may act in concert to establish deterministic, precise, and reproducible territories of stochastic gene expression.",,False,Visium,1562,32285
GSE158730_GSM7770351,mouse,olfactory epithelium,36993168,"Opposing, spatially-determined epigenetic forces impose restrictions on stochastic olfactory receptor choice","Olfactory receptor (OR) choice represents an example of genetically hardwired stochasticity, where every olfactory neuron expresses one out of ~2000 OR alleles in a probabilistic, yet stereotypic fashion. Here, we propose that topographic restrictions in OR expression are established in neuronal progenitors by two opposing forces: polygenic transcription and genomic silencing, both of which are influenced by dorsoventral gradients of transcription factors NFIA, B, and X. Polygenic transcription of OR genes may define spatially constrained OR repertoires, among which one OR allele is selected for singular expression later in development. Heterochromatin assembly and genomic compartmentalization of OR alleles also vary across the axes of the olfactory epithelium and may preferentially eliminate ectopically expressed ORs with more dorsal expression destinations from this """"""""""""""""""""""""""""""""privileged"""""""""""""""""""""""""""""""" repertoire. Our experiments identify early transcription as a potential """"""""""""""""""""""""""""""""epigenetic"""""""""""""""""""""""""""""""" contributor to future developmental patterning and reveal how two spatially responsive probabilistic processes may act in concert to establish deterministic, precise, and reproducible territories of stochastic gene expression.",,False,Visium,1714,32285
GSE160137_GSM4861202,mouse,embryo,33976190,A coordinated progression of progenitor cell states initiates urinary tract development,"The kidney and upper urinary tract develop through reciprocal interactions between the ureteric bud and the surrounding mesenchyme. Ureteric bud branching forms the arborized collecting duct system of the kidney, while ureteric tips promote nephron formation from dedicated progenitor cells. While nephron progenitor cells are relatively well characterized, the origin of ureteric bud progenitors has received little attention so far. It is well established that the ureteric bud is induced from the nephric duct, an epithelial duct derived from the intermediate mesoderm of the embryo. However, the cell state transitions underlying the progression from intermediate mesoderm to nephric duct and ureteric bud remain unknown. Here we show that nephric duct morphogenesis results from the coordinated organization of four major progenitor cell populations. Using single cell RNA-seq and Cluster RNA-seq, we show that these progenitors emerge in time and space according to a stereotypical pattern. We identify the transcription factors Tfap2a/b and Gata3 as critical coordinators of this progenitor cell progression. This study provides a better understanding of the cellular origin of the renal collecting duct system and associated urinary tract developmental diseases, which may inform guided differentiation of functional kidney tissue.",,False,Visium,198,53574
GSE160137_GSM4861203,mouse,embryo,33976190,A coordinated progression of progenitor cell states initiates urinary tract development,"The kidney and upper urinary tract develop through reciprocal interactions between the ureteric bud and the surrounding mesenchyme. Ureteric bud branching forms the arborized collecting duct system of the kidney, while ureteric tips promote nephron formation from dedicated progenitor cells. While nephron progenitor cells are relatively well characterized, the origin of ureteric bud progenitors has received little attention so far. It is well established that the ureteric bud is induced from the nephric duct, an epithelial duct derived from the intermediate mesoderm of the embryo. However, the cell state transitions underlying the progression from intermediate mesoderm to nephric duct and ureteric bud remain unknown. Here we show that nephric duct morphogenesis results from the coordinated organization of four major progenitor cell populations. Using single cell RNA-seq and Cluster RNA-seq, we show that these progenitors emerge in time and space according to a stereotypical pattern. We identify the transcription factors Tfap2a/b and Gata3 as critical coordinators of this progenitor cell progression. This study provides a better understanding of the cellular origin of the renal collecting duct system and associated urinary tract developmental diseases, which may inform guided differentiation of functional kidney tissue.",,False,Visium,222,53574
GSE160137_GSM4861204,mouse,embryo,33976190,A coordinated progression of progenitor cell states initiates urinary tract development,"The kidney and upper urinary tract develop through reciprocal interactions between the ureteric bud and the surrounding mesenchyme. Ureteric bud branching forms the arborized collecting duct system of the kidney, while ureteric tips promote nephron formation from dedicated progenitor cells. While nephron progenitor cells are relatively well characterized, the origin of ureteric bud progenitors has received little attention so far. It is well established that the ureteric bud is induced from the nephric duct, an epithelial duct derived from the intermediate mesoderm of the embryo. However, the cell state transitions underlying the progression from intermediate mesoderm to nephric duct and ureteric bud remain unknown. Here we show that nephric duct morphogenesis results from the coordinated organization of four major progenitor cell populations. Using single cell RNA-seq and Cluster RNA-seq, we show that these progenitors emerge in time and space according to a stereotypical pattern. We identify the transcription factors Tfap2a/b and Gata3 as critical coordinators of this progenitor cell progression. This study provides a better understanding of the cellular origin of the renal collecting duct system and associated urinary tract developmental diseases, which may inform guided differentiation of functional kidney tissue.",,False,Visium,192,53574
GSE160137_GSM4861205,mouse,embryo,33976190,A coordinated progression of progenitor cell states initiates urinary tract development,"The kidney and upper urinary tract develop through reciprocal interactions between the ureteric bud and the surrounding mesenchyme. Ureteric bud branching forms the arborized collecting duct system of the kidney, while ureteric tips promote nephron formation from dedicated progenitor cells. While nephron progenitor cells are relatively well characterized, the origin of ureteric bud progenitors has received little attention so far. It is well established that the ureteric bud is induced from the nephric duct, an epithelial duct derived from the intermediate mesoderm of the embryo. However, the cell state transitions underlying the progression from intermediate mesoderm to nephric duct and ureteric bud remain unknown. Here we show that nephric duct morphogenesis results from the coordinated organization of four major progenitor cell populations. Using single cell RNA-seq and Cluster RNA-seq, we show that these progenitors emerge in time and space according to a stereotypical pattern. We identify the transcription factors Tfap2a/b and Gata3 as critical coordinators of this progenitor cell progression. This study provides a better understanding of the cellular origin of the renal collecting duct system and associated urinary tract developmental diseases, which may inform guided differentiation of functional kidney tissue.",,False,Visium,178,53574
GSE173651_GSM5273010,human,skin,,Single-cell and spatial transcriptomic analysis of homeostatic adult human skin,,,False,Visium,2260,33538
GSE173651_GSM5273011,human,skin,,Single-cell and spatial transcriptomic analysis of homeostatic adult human skin,,,False,Visium,2692,33538
GSE173651_GSM5273012,human,skin,,Single-cell and spatial transcriptomic analysis of homeostatic adult human skin,,,False,Visium,1869,33538
GSE173651_GSM5273013,human,skin,,Single-cell and spatial transcriptomic analysis of homeostatic adult human skin,,,False,Visium,3354,33538
GSE173651_GSM5273014,human,skin,,Single-cell and spatial transcriptomic analysis of homeostatic adult human skin,,,False,Visium,2333,33538
GSE173651_GSM5273015,human,skin,,Single-cell and spatial transcriptomic analysis of homeostatic adult human skin,,,False,Visium,2516,33538
